#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,acpid-runit,"acpid runit service."
,alsa-utils-runit,"alsa runit service."
,chrony-runit,"chrony runit service."
,openssh-runit,"ssh runit service."
,rsync-runit,"rsync runit service."
,transmission-runit, "transmission runit service."
